id,name,first_air_date,popularity,vote_average,vote_count,status,in_production,num_seasons,num_episodes,genres,type,original_language,origin_country,avg_episode_runtime,show_age_days,days_since_last_episode,keywords,last_air_date,us_content_rating,imdb_id,created_by,homepage
66732,Stranger Things,2016-07-15,427.9798,8.581,20437,Ended,False,5,42,"Sci-Fi & Fantasy, Mystery, Action & Adventure",Scripted,en,US,,3482.0,26.0,"monster, small town, indiana, usa, experiment, halloween",2025-12-31,TV-14,tt4574334,"Ross Duffer, Matt Duffer",https://www.netflix.com/title/80057281
63174,Lucifer,2016-01-25,93.6704,8.437,15272,Ended,False,6,93,"Crime, Sci-Fi & Fantasy",Scripted,en,US,53.5,3654.0,1599.0,"based on comic, los angeles, california, devil, lapd",2021-09-10,TV-14,tt4052886,Tom Kapinos,https://www.netflix.com/title/80057918
4656,Raw,1993-01-11,79.1847,6.8,348,Returning Series,True,34,1712,Reality,Scripted,en,US,130.0,12068.0,7.0,"wrestling, superstar, sports entertainment",2026-01-19,TV-14,tt0185103,Vince McMahon,https://www.netflix.com/title/81788927
259731,HIS & HERS,2026-01-08,76.2339,7.148,200,Ended,False,1,6,"Drama, Crime, Mystery",Miniseries,en,US,,18.0,18.0,"loss of loved one, detective, based on novel or book, dementia, bullying",2026-01-08,TV-MA,tt33035373,William Oldroyd,https://www.netflix.com/title/81662954
15226,CID,1998-01-21,76.3119,5.7,27,Returning Series,True,2,1651,"Action & Adventure, Crime, Drama, Mystery",Scripted,hi,IN,45.0,10232.0,43.0,"detective, investigation, murder, justice",2025-12-14,TV-14,tt0401916,Brijendra Pal Singh,https://www.sonyliv.com/shows/cid-1700000196
71912,The Witcher,2019-12-20,71.128,7.949,6510,Returning Series,True,4,32,"Drama, Action & Adventure",Scripted,en,US,,2229.0,88.0,"based on novel or book, monster, mutant, magic, mutation",2025-10-30,TV-MA,tt5180504,Lauren Schmidt Hissrich,https://www.netflix.com/title/80189685
308482,Taskaree: The Smuggler's Web,2026-01-14,66.4422,7.583,12,Ended,False,1,7,"Crime, Mystery, Drama",Scripted,hi,IN,,12.0,12.0,tense,2026-01-14,TV-MA,tt35335046,Neeraj Pandey,https://www.netflix.com/title/81406373
78191,You,2018-09-09,67.0389,8.0,3776,Ended,False,5,50,"Mystery, Crime, Drama",Scripted,en,US,,2696.0,277.0,"new york city, based on novel or book, jealousy, infidelity, cheating",2025-04-24,TV-MA,tt7335184,"Greg Berlanti, Sera Gamble",https://www.netflix.com/title/80211991
502,Sesame Street,1969-11-10,66.7871,7.087,275,Returning Series,True,56,3161,"Kids, Comedy",Scripted,en,US,57.0,20531.0,77.0,"puppet, educational",2025-11-10,TV-Y,tt0063951,"Lloyd Morrisett, Joan Ganz Cooney, Jim Henson",http://www.sesamestreet.org
91239,Bridgerton,2020-12-25,68.7342,8.1,3095,Returning Series,True,4,32,Drama,Scripted,en,US,,1858.0,592.0,"based on novel or book, society, marriage, love, romance",2024-06-13,TV-MA,tt8740790,Chris Van Dusen,https://www.netflix.com/title/80232398
42009,Black Mirror,2011-12-04,64.6022,8.284,5936,Returning Series,True,7,32,"Sci-Fi & Fantasy, Drama, Mystery",Scripted,en,GB,,5167.0,291.0,"technology, dystopia, satire, anthology, dark comedy",2025-04-10,TV-MA,tt2085059,Charlie Brooker,https://www.netflix.com/title/70264888
93405,Squid Game,2021-09-17,57.0335,7.859,17106,Ended,False,3,22,"Action & Adventure, Mystery, Drama",Scripted,ko,KR,,1592.0,213.0,"secret organization, challenge, survival, fictional game show, cruelty",2025-06-27,TV-MA,tt10919420,Hwang Dong-hyuk,https://www.netflix.com/title/81040344
119051,Wednesday,2022-11-23,57.0537,8.4,10245,Returning Series,True,2,16,"Sci-Fi & Fantasy, Mystery, Comedy",Scripted,en,US,,1160.0,145.0,"witch, friendship, teenage girl, gothic, dark fantasy",2025-09-03,TV-14,tt13443470,"Miles Millar, Alfred Gough",https://www.netflix.com/title/81231974
307534,Free Bert,2026-01-22,54.6985,8.3,6,Ended,False,1,6,Comedy,Scripted,en,US,,4.0,4.0,,2026-01-22,TV-MA,tt37449205,"Jarrad Paul, Andrew Mogel, Bert Kreischer",https://www.netflix.com/title/81696123
229891,Can This Love Be Translated?,2026-01-16,48.4672,8.914,35,Ended,False,1,12,"Drama, Comedy",Scripted,ko,KR,,10.0,10.0,"romcom, calm, cheerful, producer female lead, interpreter male lead",2026-01-16,TV-MA,tt30293074,"Hong Mi-ran, Hong Jeong-eun, Yoo Young-eun",https://www.netflix.com/title/81697769
76669,Elite,2018-10-05,50.8292,8.013,9310,Ended,False,8,64,"Crime, Mystery, Drama",Scripted,es,ES,,2670.0,549.0,"love triangle, jealousy, infidelity, seduction, menage a trois",2024-07-26,TV-MA,tt7134908,"Darío Madrona, Carlos Montero",https://www.netflix.com/title/80200942
4194,Star Wars: The Clone Wars,2008-10-03,46.529,8.5,2261,Ended,False,7,133,"Action & Adventure, Sci-Fi & Fantasy, Animation",Scripted,en,US,,6324.0,2093.0,"space opera, space wars",2020-05-04,TV-PG,tt0458290,George Lucas,https://www.disneyplus.com/series/star-wars-the-clone-wars/1wYXzjabXGVZ
61222,BoJack Horseman,2014-08-22,46.9237,8.539,2735,Ended,False,6,76,"Animation, Comedy, Drama",Scripted,en,US,,4175.0,2187.0,"drug abuse, show business, depression, nihilism, horse",2020-01-31,TV-MA,tt3398228,Raphael Bob-Waksberg,http://www.netflix.com/title/70300800
281401,Finding Her Edge,2026-01-22,52.3047,7.136,22,Ended,False,1,8,Drama,Scripted,en,CA,,4.0,4.0,"based on novel or book, love, romance, ice skating, teen drama",2026-01-22,TV-PG,tt35495058,,https://www.netflix.com/title/81940247
70523,Dark,2017-12-01,45.6892,8.4,7336,Ended,False,3,26,"Crime, Drama, Sci-Fi & Fantasy, Mystery",Scripted,de,DE,,2978.0,2039.0,"hotel, detective, small town, cave, nuclear power plant",2020-06-27,TV-MA,tt5753856,"Baran bo Odar, Jantje Friese",https://www.netflix.com/title/80100172
65494,The Crown,2016-11-04,43.2968,8.189,2282,Ended,False,6,60,Drama,Scripted,en,"GB, US",,3370.0,774.0,"england, dynasty, royal family, based on true story, royalty",2023-12-14,TV-MA,tt4786824,Peter Morgan,https://www.netflix.com/title/80025678
77169,Cobra Kai,2018-05-02,40.4917,8.205,6803,Ended,False,6,65,"Action & Adventure, Drama, Comedy",Scripted,en,US,,2826.0,347.0,"california, martial arts, karate, sensei, rivalry",2025-02-13,TV-14,tt7221388,"Josh Heald, Hayden Schlossberg, Jon Hurwitz",https://www.netflix.com/title/81002370
250505,Agatha Christie's Seven Dials,2026-01-15,39.5849,6.202,94,Ended,False,1,3,"Drama, Mystery",Miniseries,en,GB,,11.0,11.0,"based on novel or book, clock, 1920s, thriller",2026-01-15,TV-14,tt31974288,Chris Chibnall,https://www.netflix.com/title/81314952
200709,Weak Hero,2022-11-18,38.8666,8.614,343,Returning Series,True,2,16,"Action & Adventure, Drama",Scripted,ko,KR,41.0,1165.0,276.0,"fight, male friendship, friendship, bullying, gang",2025-04-25,TV-MA,tt20234568,"You Su-min, Han Jun-hee",https://www.netflix.com/title/81742615
63333,The Last Kingdom,2015-10-10,38.632,8.242,1900,Ended,False,5,46,"Action & Adventure, Drama, War & Politics",Scripted,en,GB,60.0,3761.0,1419.0,"based on novel or book, vikings (norsemen), royalty, historical fiction, king",2022-03-09,TV-MA,tt4179452,Stephen Butchard,https://www.netflix.com/title/80074249
94605,Arcane,2021-11-06,37.1524,8.753,5628,Ended,False,2,18,"Animation, Action & Adventure",Scripted,en,US,,1542.0,429.0,"magic, war of independence, class differences, battle, based on video game",2024-11-23,TV-14,tt11126994,"Christian Linke, Alex Yee",https://arcane.com
1424,Orange Is the New Black,2013-07-11,36.404,7.7,2728,Ended,False,7,91,"Drama, Comedy, Crime",Scripted,en,US,,4582.0,2376.0,"prison, women's prison, based on true story, lesbian relationship, dark comedy",2019-07-26,TV-MA,tt2372162,Jenji Kohan,https://www.netflix.com/title/70242311
110316,Alice in Borderland,2020-12-10,34.1033,8.125,2589,Canceled,False,3,22,"Mystery, Drama, Action & Adventure",Scripted,ja,JP,,1873.0,123.0,"fight, supernatural, survival, tokyo, japan, psychological thriller",2025-09-25,TV-MA,tt10795658,,https://www.netflix.com/title/80200575
139798,Single's Inferno,2021-12-18,33.8428,7.7,81,Returning Series,True,5,53,"Reality, Comedy, Talk",Reality,ko,KR,60.0,1500.0,6.0,"competition, friendship, matchmaking, bonding, dating show",2026-01-20,TV-PG,tt16283666,"Kim Jae-won, Kim Na-hyun",https://www.netflix.com/title/81436209
66788,13 Reasons Why,2017-03-31,32.8464,7.555,4450,Ended,False,4,49,"Drama, Mystery",Scripted,en,US,,3223.0,2061.0,"suicide, rape, sexual abuse, based on novel or book, depression",2020-06-05,TV-MA,tt1837492,Brian Yorkey,https://www.netflix.com/title/80117470
